,date,btc_hashrate,eth_hashrate,ltc_hashrate,btc_tweets,eth_tweets,ltc_tweets,btc_transactions,eth_transactions,ltc_transactions,btc_marketcap,eth_marketcap,ltc_marketcap,btc_difficulty,eth_difficulty,ltc_difficulty
2235,2015-02-16,345625243748567552,null,1149785316991,24782,null,537,104475,null,4261,3212312858,null,65492997,44455415962,null,41942
2236,2015-02-17,343002678319700480,null,1166442621363,24354,null,1837,102839,null,3518,3271420621,null,66527456,44455415962,null,41942
2237,2015-02-18,346558276433120128,null,1205038352762,22628,null,695,105552,null,5333,3248181763,null,65940483,44455415962,null,41942
2238,2015-02-19,377212876117137088,null,1130755907363,24979,null,669,94386,null,5083,3247057775,null,66225160,44455415962,null,41045
2239,2015-02-20,363378012195754752,null,1136144815421,29514,null,720,98556,null,3680,3285974858,null,66049026,44455415962,null,40802
2240,2015-02-21,314664817096010560,null,1154263934892,20543,null,613,87685,null,4363,3289971463,null,65967489,44455415962,null,40802
2241,2015-02-22,326842418504531648,null,1227253827118,20579,null,727,84791,null,3951,3242758080,null,64427185,44470177289,null,40746
2242,2015-02-23,341104023894484352,null,1181436930894,23428,null,784,101373,null,5133,3183857636,null,64243047,46684376317,null,40605
2243,2015-02-24,311009972711698048,null,1176255493694,24385,null,772,104996,null,4880,3204929102,null,65057144,46684376317,null,40605
2244,2015-02-25,339351658020452864,null,1200402798239,24137,null,785,105235,null,5970,3204817484,null,64763944,46684376317,null,40605
2245,2015-02-26,356104265340452096,null,1180763134391,26283,null,730,100667,null,5993,3195794449,null,64472240,46684376317,null,41136
2246,2015-02-27,357324747723937152,null,1093410596305,30545,null,759,101322,null,6474,3408271424,null,66416588,46684376317,null,41264
2247,2015-02-28,339304176751671296,null,1184622342738,20811,null,593,89490,null,6445,3429013936,null,66431272,46684376317,null,41264
2248,2015-03-01,340424642827311104,null,1201154455252,18895,null,504,88588,null,6225,3416303515,null,66472012,46684376317,null,41017
2249,2015-03-02,332655060469045120,null,1143397139342,23297,null,537,104779,null,5092,3574502308,null,69255883,46684376317,null,40279
2250,2015-03-03,370659594151624704,null,1098981985295,25764,null,512,110823,null,4387,3730011037,null,70446761,46684376317,null,40279
2251,2015-03-04,359619613021624960,null,1143679952655,25007,null,446,98389,null,10194,3815689680,null,71085273,46684376317,null,40279
